EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-12.980,0.567,-12.277,-12.537,-14.847,-9.279,-8.823,-12.113,-0.150,0.988,-0.011,1.648,1.221,-0.183,93.333,109365.000,1.000
-15.233,0.816,-13.235,-13.398,-15.382,-7.796,-8.334,-12.240,-0.147,0.988,-0.013,1.617,1.099,-0.214,93.333,109366.000,1.000
-15.757,1.429,-14.038,-13.818,-16.121,-7.176,-6.897,-12.423,-0.149,0.987,-0.011,1.617,0.946,-0.153,93.333,109367.000,1.000
-14.654,2.273,-14.060,-13.194,-15.509,-6.272,-4.721,-11.263,-0.148,0.987,-0.011,1.678,0.946,-0.153,93.333,109368.000,1.000
-12.912,2.775,-13.482,-11.829,-13.514,-4.591,-2.861,-9.001,-0.148,0.989,-0.015,1.556,0.916,-0.092,93.333,109369.000,1.000
-11.251,2.775,-12.962,-10.683,-12.067,-3.342,-2.108,-7.734,-0.147,0.988,-0.015,1.617,0.916,-0.031,93.333,109370.000,1.000
-9.774,2.781,-12.409,-9.931,-11.839,-3.031,-2.053,-8.008,-0.146,0.990,-0.015,1.648,0.916,0.000,93.333,109371.000,1.000
-8.599,3.154,-11.206,-8.931,-11.281,-2.455,-1.853,-8.002,-0.146,0.988,-0.014,1.678,0.946,-0.031,93.333,109372.000,1.000
-8.003,3.648,-9.541,-7.687,-9.736,-1.147,-1.398,-6.946,-0.146,0.988,-0.013,1.617,0.916,-0.031,93.333,109373.000,1.000
-7.946,3.957,-8.453,-7.171,-8.826,-0.560,-1.097,-6.602,-0.145,0.989,-0.013,1.648,1.099,0.000,93.333,109374.000,1.000
-8.052,4.249,-8.349,-7.775,-9.422,-1.418,-0.888,-8.017,-0.144,0.988,-0.013,1.587,1.007,-0.153,93.333,109375.000,1.000
-8.084,4.800,-8.468,-8.533,-9.749,-1.929,-0.261,-9.379,-0.144,0.989,-0.012,1.556,1.007,-0.092,93.333,109376.000,1.000
-8.077,5.402,-8.201,-8.549,-8.315,-0.481,0.827,-8.900,-0.145,0.990,-0.009,1.648,1.099,-0.092,93.333,109377.000,1.000
-8.012,5.613,-7.914,-8.190,-6.468,1.714,1.875,-7.570,-0.146,0.989,-0.012,1.556,1.099,-0.214,93.333,109378.000,1.000
-7.670,5.477,-7.919,-8.065,-5.905,2.747,2.774,-6.947,-0.146,0.988,-0.015,1.495,1.129,-0.336,93.333,109379.000,1.000
-6.995,5.518,-7.634,-7.832,-5.697,3.113,4.065,-6.264,-0.145,0.989,-0.013,1.648,1.190,-0.366,93.333,109380.000,1.000
-6.292,6.047,-6.591,-6.965,-4.223,4.304,5.920,-4.152,-0.145,0.988,-0.016,1.526,1.282,-0.427,93.333,109381.000,1.000
-5.847,6.845,-5.445,-5.912,-2.360,5.715,7.547,-1.626,-0.144,0.989,-0.016,1.373,1.343,-0.427,93.333,109382.000,1.000
-5.668,7.466,-5.136,-5.437,-2.061,5.606,8.058,-0.695,-0.145,0.989,-0.015,1.312,1.373,-0.427,93.333,109383.000,1.000
-5.751,7.608,-5.559,-5.300,-2.915,4.284,7.478,-1.047,-0.146,0.989,-0.015,1.312,1.282,-0.519,93.333,109384.000,1.000
-6.175,7.211,-5.991,-4.704,-2.999,3.609,6.394,-0.882,-0.146,0.991,-0.013,1.343,1.312,-0.519,93.333,109385.000,1.000
-6.801,6.452,-6.406,-3.722,-2.391,3.794,5.045,-0.314,-0.147,0.990,-0.014,1.251,1.312,-0.610,93.333,109386.000,1.000
-7.162,5.791,-7.206,-3.047,-2.728,3.445,3.472,-0.963,-0.148,0.988,-0.016,1.251,1.404,-0.610,93.333,109387.000,1.000
-6.828,5.802,-7.914,-2.538,-3.688,2.609,2.210,-2.513,-0.150,0.988,-0.014,1.282,1.434,-0.549,93.333,109388.000,1.000
-5.709,6.681,-7.454,-1.371,-3.196,2.941,1.951,-2.865,-0.149,0.987,-0.011,1.282,1.404,-0.549,93.333,109389.000,1.000
-3.967,8.030,-5.751,0.396,-1.178,4.590,2.587,-1.783,-0.148,0.989,-0.012,1.282,1.404,-0.519,93.333,109390.000,1.000
-1.826,9.290,-3.804,1.791,0.125,5.725,3.369,-1.250,-0.148,0.986,-0.016,1.282,1.404,-0.458,93.333,109391.000,1.000
0.410,10.310,-2.074,2.583,0.026,5.794,4.023,-1.781,-0.149,0.988,-0.012,1.221,1.373,-0.488,93.333,109392.000,1.000
2.300,11.207,-0.155,3.582,0.314,6.412,4.817,-1.562,-0.150,0.987,-0.013,1.251,1.343,-0.427,93.333,109393.000,1.000
3.389,11.796,1.749,4.969,1.544,7.980,5.575,-0.056,-0.151,0.985,-0.016,1.282,1.251,-0.366,93.333,109394.000,1.000
3.513,11.633,2.514,5.769,1.748,8.353,5.721,0.779,-0.150,0.985,-0.014,1.282,1.373,-0.336,93.333,109395.000,1.000
2.896,10.616,1.711,5.421,0.005,6.262,5.258,-0.004,-0.149,0.986,-0.014,1.251,1.343,-0.366,93.333,109396.000,1.000
1.944,9.168,0.280,4.553,-1.755,3.492,4.747,-0.695,-0.150,0.987,-0.012,1.343,1.221,-0.305,93.333,109397.000,1.000
1.260,8.025,-0.633,3.848,-1.803,2.208,4.521,-0.024,-0.149,0.986,-0.014,1.251,1.190,-0.214,93.333,109398.000,1.000
1.807,8.164,-0.349,3.494,-0.657,2.521,4.848,1.070,-0.149,0.987,-0.016,1.221,1.099,-0.244,93.333,109399.000,1.000
4.289,10.384,1.820,4.054,1.220,4.110,6.444,2.100,-0.149,0.988,-0.016,1.190,1.068,-0.275,93.333,109400.000,1.000
8.105,14.192,6.051,6.208,4.702,7.620,9.542,4.337,-0.150,0.987,-0.016,1.251,1.007,-0.275,93.333,109401.000,1.000
