EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-3860.460,-81303.814,-174383.536,-185113.215,-170248.930,-220593.963,-193678.777,-236674.707,-0.155,0.994,0.035,-0.702,3.937,-0.153,93.333,102.000,1.000
-2681.706,-79384.859,-175256.333,-185349.142,-167213.908,-218054.582,-190989.710,-235406.136,-0.153,0.993,0.038,-0.702,3.876,-0.061,93.333,103.000,1.000
-1533.840,-77478.625,-176029.057,-185494.577,-164170.095,-215462.106,-188269.393,-234052.421,-0.153,0.991,0.035,-0.793,3.967,0.000,93.333,104.000,1.000
-409.783,-75577.866,-176703.186,-185550.972,-161110.887,-212812.766,-185513.073,-232609.123,-0.154,0.990,0.033,-0.824,4.059,-0.031,93.333,105.000,1.000
694.879,-73672.774,-177279.747,-185519.356,-158011.297,-210092.534,-182696.112,-231039.588,-0.155,0.990,0.032,-0.854,3.876,-0.153,93.333,106.000,1.000
1775.294,-71769.028,-177762.408,-185403.353,-154876.783,-207307.267,-179824.138,-229349.713,-0.156,0.990,0.036,-0.793,3.845,0.031,93.333,107.000,1.000
2827.528,-69878.033,-178155.918,-185207.602,-151736.154,-204476.771,-176927.368,-227584.254,-0.154,0.991,0.035,-0.824,3.845,-0.092,93.333,108.000,1.000
3856.126,-67997.993,-178462.679,-184934.387,-148592.320,-201604.292,-174009.863,-225751.715,-0.155,0.992,0.036,-0.793,3.876,-0.153,93.333,109.000,1.000
4865.050,-66120.366,-178683.544,-184584.486,-145422.227,-198677.613,-171047.852,-223817.271,-0.154,0.992,0.040,-0.732,3.906,-0.031,93.333,110.000,1.000
5849.353,-64248.560,-178821.178,-184160.513,-142225.016,-195698.566,-168039.492,-221775.733,-0.155,0.996,0.037,-0.793,3.937,0.092,93.333,111.000,1.000
6803.567,-62393.549,-178879.765,-183666.596,-139027.977,-192685.324,-165013.025,-219667.839,-0.155,0.998,0.038,-0.977,3.998,0.275,93.333,112.000,1.000
